author,cluster,eps,pca_dims,silhouette,calinski_harabasz,davies_bouldin
"Matesanz del Barrio, Fuencisla",2,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
"Alcina, Antonio",2,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
"González Pacanowska, Dolores",0,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
"Ruiz Pérez, Luis Miguel",0,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
"Navarro Carretero, Miguel",0,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
"Estévez García, Antonio Manuel",0,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
"Acosta Herrera, Marialbert",2,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
"Vidal Romero, Antonio",0,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
"López Giménez, Juan F.",-1,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
"Oliver Pozo, Francisco Javier",-1,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
"Gómez Díaz, Elena",-1,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
"Zubiaur, Mercedes",4,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
"Sánchez Luque, Francisco José",-1,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
"Sancho López, Jaime",4,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
"Berzal Herranz, Alfredo",-1,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
"Gómez Castilla, Jordi",-1,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
"Ortiz Fernández, Lourdes",2,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
"Márquez Ortiz, Ana María",2,1.2,20,0.27949484074120945,2.829282745979933,1.6797902484768905
