author,cluster,k,pca_dims,silhouette,calinski_harabasz,davies_bouldin
"Sánchez Navarro, Macarena",1,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"López López, Manuel Carlos",0,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"Thomas, María del Carmen",0,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"González Rey, Elena",2,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"Delgado Mora, Mario",2,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"Pérez Victoria, José María",1,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"Morales Sánchez, Juan Carlos",1,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"Martín Ibáñez, Javier",4,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"Hernández López de Munaín, Cristina",5,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"Suñé, Carlos",5,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"Castanys, Santiago",0,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"Matesanz del Barrio, Fuencisla",6,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"Alcina, Antonio",6,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"González Pacanowska, Dolores",3,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"Ruiz Pérez, Luis Miguel",3,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"Navarro Carretero, Miguel",3,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"Estévez García, Antonio Manuel",3,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"Acosta Herrera, Marialbert",4,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"Vidal Romero, Antonio",3,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"López Giménez, Juan F.",1,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"Oliver Pozo, Francisco Javier",1,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"Gómez Díaz, Elena",1,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"Zubiaur, Mercedes",2,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"Sánchez Luque, Francisco José",1,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"Sancho López, Jaime",2,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"Berzal Herranz, Alfredo",1,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"Gómez Castilla, Jordi",1,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"Ortiz Fernández, Lourdes",4,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"Márquez Ortiz, Ana María",4,7,5,0.6859290765983219,48.3712392675596,0.38769904518906484
"Sánchez Navarro, Macarena",1,8,5,0.7411418543317,58.63482171191062,0.3059632544587938
"López López, Manuel Carlos",0,8,5,0.7411418543317,58.63482171191062,0.3059632544587938
"Thomas, María del Carmen",0,8,5,0.7411418543317,58.63482171191062,0.3059632544587938
"González Rey, Elena",7,8,5,0.7411418543317,58.63482171191062,0.3059632544587938
"Delgado Mora, Mario",7,8,5,0.7411418543317,58.63482171191062,0.3059632544587938
